inputs=80 keys=160 outputs=1 gates=320
iteration: 1; vars: 2320; clauses: 2068; decisions: 354
iteration: 2; vars: 2958; clauses: 3662; decisions: 581
iteration: 3; vars: 3596; clauses: 2539; decisions: 916
iteration: 4; vars: 4234; clauses: 4133; decisions: 1226
iteration: 5; vars: 4872; clauses: 3025; decisions: 1553
iteration: 6; vars: 5510; clauses: 4619; decisions: 1794
iteration: 7; vars: 6148; clauses: 3502; decisions: 2051
iteration: 8; vars: 6786; clauses: 5096; decisions: 2277
iteration: 9; vars: 7424; clauses: 3979; decisions: 2575
iteration: 10; vars: 8062; clauses: 5573; decisions: 2871
iteration: 11; vars: 8700; clauses: 4459; decisions: 3214
iteration: 12; vars: 9338; clauses: 6053; decisions: 3466
iteration: 13; vars: 9976; clauses: 4944; decisions: 3797
iteration: 14; vars: 10614; clauses: 6538; decisions: 4043
iteration: 15; vars: 11252; clauses: 5422; decisions: 4358
iteration: 16; vars: 11890; clauses: 7016; decisions: 4600
iteration: 17; vars: 12528; clauses: 5906; decisions: 4867
iteration: 18; vars: 13166; clauses: 7500; decisions: 5077
iteration: 19; vars: 13804; clauses: 6394; decisions: 5345
iteration: 20; vars: 14442; clauses: 7988; decisions: 5549
iteration: 21; vars: 15080; clauses: 6882; decisions: 5786
iteration: 22; vars: 15718; clauses: 8476; decisions: 5995
iteration: 23; vars: 16356; clauses: 7370; decisions: 6221
iteration: 24; vars: 16994; clauses: 8964; decisions: 6431
iteration: 25; vars: 17632; clauses: 7858; decisions: 6615
iteration: 26; vars: 18270; clauses: 9452; decisions: 6980
iteration: 27; vars: 18908; clauses: 8346; decisions: 7253
iteration: 28; vars: 19546; clauses: 9940; decisions: 7808
iteration: 29; vars: 20184; clauses: 8834; decisions: 8146
iteration: 30; vars: 20822; clauses: 10428; decisions: 8438
iteration: 31; vars: 21460; clauses: 9321; decisions: 8733
iteration: 32; vars: 22098; clauses: 10915; decisions: 9032
iteration: 33; vars: 22736; clauses: 9810; decisions: 9278
iteration: 34; vars: 23374; clauses: 11404; decisions: 9542
iteration: 35; vars: 24012; clauses: 10299; decisions: 9748
iteration: 36; vars: 24650; clauses: 11893; decisions: 9953
iteration: 37; vars: 25288; clauses: 10787; decisions: 10159
iteration: 38; vars: 25926; clauses: 12381; decisions: 10458
iteration: 39; vars: 26564; clauses: 11275; decisions: 10679
iteration: 40; vars: 27202; clauses: 12869; decisions: 10898
iteration: 41; vars: 27840; clauses: 11763; decisions: 11192
iteration: 42; vars: 28478; clauses: 13357; decisions: 11411
iteration: 43; vars: 29116; clauses: 12253; decisions: 11634
iteration: 44; vars: 29754; clauses: 13847; decisions: 11855
iteration: 45; vars: 30392; clauses: 12741; decisions: 12180
iteration: 46; vars: 31030; clauses: 14335; decisions: 12467
iteration: 47; vars: 31668; clauses: 13229; decisions: 12745
iteration: 48; vars: 32306; clauses: 14823; decisions: 13000
iteration: 49; vars: 32944; clauses: 13715; decisions: 13247
iteration: 50; vars: 33582; clauses: 15309; decisions: 13495
iteration: 51; vars: 34220; clauses: 14203; decisions: 13756
iteration: 52; vars: 34858; clauses: 15797; decisions: 13973
iteration: 53; vars: 35496; clauses: 14691; decisions: 14210
iteration: 54; vars: 36134; clauses: 16285; decisions: 14433
iteration: 55; vars: 36772; clauses: 15175; decisions: 14656
iteration: 56; vars: 37410; clauses: 16769; decisions: 15069
iteration: 57; vars: 38048; clauses: 15663; decisions: 15523
iteration: 58; vars: 38686; clauses: 17255; decisions: 15874
iteration: 59; vars: 39324; clauses: 1708; decisions: 16271
iteration: 60; vars: 39962; clauses: 3290; decisions: 16722
iteration: 61; vars: 40600; clauses: 2110; decisions: 17115
iteration: 62; vars: 41238; clauses: 3690; decisions: 17506
iteration: 63; vars: 41876; clauses: 2035; decisions: 17907
iteration: 64; vars: 42514; clauses: 3611; decisions: 18277
iteration: 65; vars: 43152; clauses: 1655; decisions: 18642
