inputs=32 keys=64 outputs=1 gates=128
iteration: 1; vars: 928; clauses: 826; decisions: 158
iteration: 2; vars: 1182; clauses: 1458; decisions: 384
iteration: 3; vars: 1436; clauses: 316; decisions: 613
iteration: 4; vars: 1690; clauses: 319; decisions: 757
iteration: 5; vars: 1944; clauses: 319; decisions: 901
iteration: 6; vars: 2198; clauses: 353; decisions: 1044
iteration: 7; vars: 2452; clauses: 387; decisions: 1186
iteration: 8; vars: 2706; clauses: 387; decisions: 1329
iteration: 9; vars: 2960; clauses: 421; decisions: 1470
iteration: 10; vars: 3214; clauses: 425; decisions: 1611
iteration: 11; vars: 3468; clauses: 383; decisions: 1753
iteration: 12; vars: 3722; clauses: 387; decisions: 1895
iteration: 13; vars: 3976; clauses: 421; decisions: 2037
iteration: 14; vars: 4230; clauses: 425; decisions: 2178
iteration: 15; vars: 4484; clauses: 455; decisions: 2318
iteration: 16; vars: 4738; clauses: 447; decisions: 2459
iteration: 17; vars: 4992; clauses: 270; decisions: 2592
iteration: 18; vars: 5246; clauses: 270; decisions: 2721
iteration: 19; vars: 5500; clauses: 272; decisions: 2871
iteration: 20; vars: 5754; clauses: 246; decisions: 3005
iteration: 21; vars: 6008; clauses: 262; decisions: 3137
iteration: 22; vars: 6262; clauses: 245; decisions: 3263
iteration: 23; vars: 6516; clauses: 235; decisions: 3383
iteration: 24; vars: 6770; clauses: 235; decisions: 3502
iteration: 25; vars: 7024; clauses: 247; decisions: 3621
iteration: 26; vars: 7278; clauses: 214; decisions: 3732
iteration: 27; vars: 7532; clauses: 202; decisions: 3839
iteration: 28; vars: 7786; clauses: 186; decisions: 3956
iteration: 29; vars: 8040; clauses: 159; decisions: 4049
iteration: 30; vars: 8294; clauses: 159; decisions: 4141
iteration: 31; vars: 8548; clauses: 165; decisions: 4232
iteration: 32; vars: 8802; clauses: 165; decisions: 4323
iteration: 33; vars: 9056; clauses: 171; decisions: 4414
iteration: 34; vars: 9310; clauses: 177; decisions: 4504
iteration: 35; vars: 9564; clauses: 175; decisions: 4594
iteration: 36; vars: 9818; clauses: 173; decisions: 4686
iteration: 37; vars: 10072; clauses: 171; decisions: 4777
iteration: 38; vars: 10326; clauses: 177; decisions: 4868
iteration: 39; vars: 10580; clauses: 183; decisions: 4958
iteration: 40; vars: 10834; clauses: 183; decisions: 5047
iteration: 41; vars: 11088; clauses: 179; decisions: 5137
iteration: 42; vars: 11342; clauses: 181; decisions: 5226
iteration: 43; vars: 11596; clauses: 132; decisions: 5309
iteration: 44; vars: 11850; clauses: 118; decisions: 5399
iteration: 45; vars: 12104; clauses: 120; decisions: 5478
iteration: 46; vars: 12358; clauses: 122; decisions: 5555
iteration: 47; vars: 12612; clauses: 122; decisions: 5632
iteration: 48; vars: 12866; clauses: 126; decisions: 5708
iteration: 49; vars: 13120; clauses: 94; decisions: 5779
iteration: 50; vars: 13374; clauses: 82; decisions: 5846
iteration: 51; vars: 13628; clauses: 76; decisions: 5911
iteration: 52; vars: 13882; clauses: 72; decisions: 5913
finished solver loop. fail_count = 0
key=0000000000000000000000000000000001101110101011110100001001100001
iteration=52; backbones_count=0; cube_count=33666; cpu_time=0.232964; maxrss=2.96094
